system,code,display,tty,source_code,sab,ndc_example,ncbi_url,component,property,loinc_class
Ser/Plas,1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/1968-7,Bilirubin.glucuronidated+Bilirubin.albumin bound,MCnc,CHEM
Ser/Plas,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/1975-2,Bilirubin,MCnc,CHEM
Ser/Plas,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/1988-5,C reactive protein,MCnc,CHEM
Ser/Plas,2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",,,,,https://loinc.org/2028-9,Carbon dioxide,SCnc,CHEM
Ser/Plas,2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/2039-6,Carcinoembryonic Ag,MCnc,CHEM
Ser/Plas,2075-0,Chloride [Moles/volume] in Serum or Plasma,,,,,https://loinc.org/2075-0,Chloride,SCnc,CHEM
Ser/Plas,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/2085-9,Cholesterol.in HDL,MCnc,CHEM
Ser/Plas,2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/2089-1,Cholesterol.in LDL,MCnc,CHEM
Ser/Plas,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/2093-3,Cholesterol,MCnc,CHEM
Ser/Plas,2160-0,Creatinine [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/2160-0,Creatinine,MCnc,CHEM
Ser/Plas,2345-7,Glucose [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/2345-7,Glucose,MCnc,CHEM
Ser/Plas,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/2571-8,Triglyceride,MCnc,CHEM
Ser/Plas,2823-3,Potassium [Moles/volume] in Serum or Plasma,,,,,https://loinc.org/2823-3,Potassium,SCnc,CHEM
Ser/Plas,2857-1,Prostate specific Ag [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/2857-1,Prostate specific Ag,MCnc,CHEM
Ser/Plas,2951-2,Sodium [Moles/volume] in Serum or Plasma,,,,,https://loinc.org/2951-2,Sodium,SCnc,CHEM
Ser/Plas,3016-3,Thyrotropin [Units/volume] in Serum or Plasma,,,,,https://loinc.org/3016-3,Thyrotropin,ACnc,CHEM
Ser/Plas,3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/3024-7,Thyroxine.free,MCnc,CHEM
Ser/Plas,3051-0,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/3051-0,Triiodothyronine.free,MCnc,CHEM
Ser/Plas,30934-4,Natriuretic peptide B [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/30934-4,Natriuretic peptide.B,MCnc,CHEM
Ser/Plas,3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/3094-0,Urea nitrogen,MCnc,CHEM
Ser/Plas,33762-6,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,,,,,https://loinc.org/33762-6,Natriuretic peptide.B prohormone N-Terminal,MCnc,CHEM
^Patient,44249-1,PHQ-9 quick depression assessment panel [Reported.PHQ],,,,,https://loinc.org/44249-1,PHQ-9 quick depression assessment panel,-,PANEL.SURVEY.PHQ
Bld,4537-7,Erythrocyte [Sedimentation Rate] in Blood by Westergren method,,,,,https://loinc.org/4537-7,Erythrocyte,Sedimentation Rate,HEM/BC
Bld,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,,,,,https://loinc.org/4544-3,Erythrocyte/Blood,VFr,HEM/BC
Bld,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,,,,,https://loinc.org/4548-4,Hemoglobin A1c/Hemoglobin.total,MFr,CHEM
Ser/Plas,5196-1,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay,,,,,https://loinc.org/5196-1,Hepatitis B virus surface Ag,PrThr,MICRO
Bld,6690-2,Leukocytes [#/volume] in Blood by Automated count,,,,,https://loinc.org/6690-2,Leukocytes,NCnc,HEM/BC
Ser/Plas,67151-1,Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,,,,,https://loinc.org/67151-1,Troponin T.cardiac,MCnc,CHEM
Ser/Plas,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,,,,,https://loinc.org/6768-6,Alkaline phosphatase,CCnc,CHEM
Bld,718-7,Hemoglobin [Mass/volume] in Blood,,,,,https://loinc.org/718-7,Hemoglobin,MCnc,HEM/BC
^Patient,75626-2,Total score [AUDIT-C],,,,,https://loinc.org/75626-2,Total score,Score,SURVEY.GNHLTH
Bld,777-3,Platelets [#/volume] in Blood by Automated count,,,,,https://loinc.org/777-3,Platelets,NCnc,HEM/BC
RBC,785-6,MCH [Entitic mass] by Automated count,,,,,https://loinc.org/785-6,Hemoglobin,EntMass,HEM/BC
RBC,786-4,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,,,,,https://loinc.org/786-4,Hemoglobin,EntMCnc,HEM/BC
RBC,787-2,MCV [Entitic mean volume] in Red Blood Cells by Automated count,,,,,https://loinc.org/787-2,Observation,EntMeanVol,HEM/BC
Bld,789-8,Erythrocytes [#/volume] in Blood by Automated count,,,,,https://loinc.org/789-8,Erythrocytes,NCnc,HEM/BC
